TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2016",CIVE,8298,9,"Doctoral Research",Lee,Hyongki,,,,,,,
"Summer 2016",CIVE,8298,11,"Doctoral Research",Mo,Yi-Lung,,,,,,,
"Summer 2016",CIVE,8298,12,"Doctoral Research",Nakshatrala,Kalyana,,,,,,,
"Summer 2016",CIVE,8298,13,"Doctoral Research",Rifai,"Hanadi S",,,,,,,
"Summer 2016",CIVE,8298,15,"Doctoral Research",Rodrigues,"Debora Frigi",,,,,,,
"Summer 2016",CIVE,8298,18,"Doctoral Research",Vipulanandan,Cumaraswamy,,,,,,,
"Summer 2016",CIVE,8298,19,"Doctoral Research",Wang,Keh-Han,,,,,,,
"Summer 2016",CIVE,8298,21,"Doctoral Research",Gencturk,Bora,,,,,,,
"Summer 2016",CIVE,8398,3,"Doctoral Research",Dawood,"Mina M.R.",,,,,,,
"Summer 2016",CIVE,8398,4,"Doctoral Research",Gencturk,Bora,,,,,,,
"Summer 2016",CIVE,8398,5,"Doctoral Research",Glennie,"Craig Len",,,,,,,
"Summer 2016",CIVE,8398,9,"Doctoral Research",Lee,Hyongki,,,,,,,
"Summer 2016",CIVE,8398,12,"Doctoral Research",Nakshatrala,Kalyana,,,,,,,
"Summer 2016",CIVE,8398,14,"Doctoral Research",Rixey,"William G",,,,,,,
"Summer 2016",CIVE,8398,18,"Doctoral Research",Vipulanandan,Cumaraswamy,,,,,,,
"Summer 2016",CIVE,8399,14,"Doctoral Dissertation",Rixey,"William G",,,,,,,
"Summer 2016",CIVE,8498,1,"Doctoral Research",Belarbi,Abdeldjelil,,,,,,,
"Summer 2016",CIVE,8498,3,"Doctoral Research",Dawood,"Mina M.R.",,,,,,,
"Summer 2016",CIVE,8498,5,"Doctoral Research",Glennie,"Craig Len",,,,,,,
"Summer 2016",CIVE,8498,7,"Doctoral Research",Hu,Yandi,,,,,,,
"Summer 2016",CIVE,8498,11,"Doctoral Research",Mo,Yi-Lung,,,,,,,
"Summer 2016",CIVE,8498,12,"Doctoral Research",Nakshatrala,Kalyana,,,,,,,
"Summer 2016",CIVE,8498,13,"Doctoral Research",Rifai,"Hanadi S",,,,,,,
"Summer 2016",CIVE,8498,15,"Doctoral Research",Rodrigues,"Debora Frigi",,,,,,,
